Location,First Submitted Date,Last Submitted Date,D.O.S.,Claim Aging Days,Insurance Aging Days,Claim ID,Patient Name,Patient ID,D.O.B,Subscriber,Subscriber ID/SSN,Service Type,Billed Amt.,Ins. Amt,Ins. Paid,Paid Date,Outst. Amt.,Claim Status,Claim Flag,Mode,Claim Order,Provider,Provider TIN/NPI,Carrier,Carrier ID,Phone Number,Group Number,Plan Name,Plan Type,Remarks,Last Updated On,Last Updated By
"COLUMBIA",,,2/8/2024,"In 30","Over 120",91,"Bacon, Wimpy","1357","06/12/2015","Bacon, Candy ","99999999","Regular","$508.00","$178.00","$0.00",,"$178.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Cigna","","(800) 244-6224","123232","Private Insurance","Indemnity","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,2/1/2024,"In 30","Over 120",92,"Black, Jack","1449","01/01/2000","Black, Jack","WC-12345","Regular","$1,524.00","$0.00","$0.00",,"$0.00","Saved","","Electronic","Primary Dental","AKLINE","1922529908","Delta Dental GA","914738451","(800) 524-0149","3365","Jason Smith","PPO","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,2/22/2024,"In 30","Over 120",93,"Bacon, Candy ","1320","01/01/1980","Bacon, Candy ","123456","Ortho","$0.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,2/22/2024,"In 30","Over 120",94,"Bacon, Crispy ","1356","05/10/1980","Bacon, Candy ","123456","Regular","$71.00","$71.00","$0.00",,"$71.00","Saved With Errors","","Paper Based","Primary Dental","JSMITH","3333333333","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,2/22/2024,"In 30","Over 120",95,"Bacon, Crispy ","1356","05/10/1980","Bacon, Candy ","123456","Regular","$1,187.00","$949.60","$0.00",,"$949.60","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,2/22/2024,"In 30","Over 120",96,"Bacon, Crispy ","1356","05/10/1980","Bacon, Candy ","123456","Regular","$226.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Paper Based","Primary Dental","JSMITH","3333333333","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,2/22/2024,"In 30","Over 120",97,"Bacon, Crispy ","1356","05/10/1980","Bacon, Candy ","123456","Regular","$1,379.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,2/27/2024,"In 30","Over 120",98,"CareStack, Child 4","1005","04/10/2012","CareStack, Dad","12323213","Regular","$177.00","$141.00","$0.00",,"$141.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - 
Notes - ",2/27/2024,"Vilchez, Helen"
"COLUMBIA",,,10/25/2024,"In 30","Over 120",101,"Test, Emilie","1583","10/08/2024","CARESTACK, TEST","90830983","Regular","$186.00","$0.00","$0.00",,"$0.00","Ready To Send","","Electronic","Primary Dental","AKLINE","1922529908","Delta Dental GA","914738451","(800) 524-0149","3365","Jason Smith","PPO","Claim Remarks - 
Notes - ",10/29/2024,"Brauer, Nick"
"HWD",,,5/1/2024,"In 30","Over 120",103,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$240.00","$0.00",,"$240.00","Saved","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - bbhjh
Notes - ",2/2/2025,"Dong, Kevin"
"COLUMBIA",,,11/14/2024,"In 30","Over 120",104,"Arava, Sam","1334","01/01/1980","Arava, Sam","22346","Regular","$53.00","$53.00","$0.00",,"$53.00","Saved With Errors","","Electronic","Primary Dental","JSMITH","3333333333","TEST","G123123","","444","whats up yo","PPO","Claim Remarks - 
Notes - ",2/2/2025,"Dong, Kevin"
"COLUMBIA",,,11/14/2024,"In 30","Over 120",105,"Arava, Sam","1334","01/01/1980","Arava, Sam","22346","Regular","$195.00","$156.00","$0.00",,"$156.00","Saved With Errors","","Electronic","Primary Dental","BSMILE","7777777777","TEST","G123123","","444","whats up yo","PPO","Claim Remarks - 
Notes - ",2/2/2025,"Dong, Kevin"
"COLUMBIA",,,12/11/2024,"In 30","Over 120",106,"Callaway, Sarah","1606","08/04/1986","Callaway, Sarah","123456456452","Regular","$80.00","$0.00","$0.00",,"$0.00","On Hold","","Paper Based","Primary Dental","JSMITH","3333333333","Delta Dental of California","","","55123","General Motors Hourly","PPO","Claim Remarks - asscd,assd
Notes - ",3/19/2025,"Smith, Edwin"
"COLUMBIA",,,12/27/2024,"In 30","Over 120",107,"Adams, Katy","1291","11/16/1949","Adams, Katy","123123123","Regular","$1,568.00","$1,268.60","$0.00",,"$1,268.60","Saved With Errors","","Electronic","Primary Dental","JSMITH","3333333333","delta dental of tn","cdtn1","(800) 223-3104","8404","Williamson County Goverment","PPO","Claim Remarks - 
Notes - ",3/19/2025,"Smith, Edwin"
"HWD",,,5/1/2025,"In 30","61-90",108,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - 
Notes - ",5/1/2025,"User, System"
